year,solar power,wind power,hydroelectric power,nuclear power,fossil fuels
1985,2.54E-07,2.21E-07,5.88E-07,4.92E-06,8.67E-07
1986,2.28E-07,1.89E-07,5.81E-07,4.56E-06,8.29E-07
1987,2.17E-07,1.76E-07,5.62E-07,4.41E-06,8.56E-07
1988,2.08E-07,1.71E-07,5.19E-07,4.25E-06,8.84E-07
1989,2.08E-07,1.72E-07,4.96E-07,4.10E-06,9.61E-07
1990,1.97E-07,1.65E-07,5.00E-07,3.98E-06,1.03E-06
1991,1.98E-07,1.69E-07,4.94E-07,3.78E-06,1.10E-06
1992,2.03E-07,1.80E-07,4.79E-07,3.60E-06,1.17E-06
1993,2.00E-07,1.85E-07,4.59E-07,3.44E-06,1.20E-06
1994,1.96E-07,1.88E-07,4.54E-07,3.20E-06,1.20E-06
1995,1.97E-07,1.99E-07,4.54E-07,3.05E-06,1.22E-06
1996,1.96E-07,2.08E-07,4.46E-07,2.88E-06,1.19E-06
1997,1.98E-07,2.06E-07,4.27E-07,2.68E-06,1.17E-06
1998,2.00E-07,2.14E-07,4.21E-07,2.63E-06,1.18E-06
1999,2.00E-07,2.16E-07,4.17E-07,2.61E-06,1.18E-06
2000,2.07E-07,2.26E-07,4.18E-07,2.56E-06,1.20E-06
